年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,2.菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品,區域
2015,苗栗縣,"183,736",3.15,2.52,1.35,1.69,"1,008,241","639,582","92,448","9,191","18,132","151,479","15,032","105,777","76,722","25,060","33,581","28,849","52,059","31,252","14,651","8,872","3,764","6,295",中部
2015,彰化縣,"380,058",3.15,2.59,1.56,1.74,"926,717","586,102","106,208","8,026","18,027","121,715","12,024","106,024","54,727","20,890","23,295","30,302","56,222","28,641","9,131","6,481","4,344","3,339",中部
2015,南投縣,"176,609",3.01,2.47,1.43,1.63,"878,760","572,716","92,762","10,025","17,294","119,746","10,297","119,843","56,112","20,625","23,137","21,951","51,466","29,458","8,922","7,312","3,715","3,188",中部
2015,雲林縣,"238,079",2.9,2.41,1.41,1.56,"876,670","528,364","80,440","9,518","13,028","106,710","13,027","108,909","51,481","20,321","17,537","20,089","53,974","33,329","5,783","6,272","3,191","2,291",中部
2015,嘉義縣,"181,653",3.09,2.46,1.42,1.63,"890,742","624,427","121,746","11,345","17,059","107,073","12,745","128,886","63,699","18,617","19,888","26,812","67,188","29,370","5,985","6,447","4,204","3,251",南部
2015,屏東縣,"283,712",2.91,2.37,1.39,1.56,"869,818","576,911","82,467","10,161","15,820","103,042","15,296","100,516","49,189","21,334","27,539","22,631","94,602","34,314","12,943","6,793","3,451","4,352",南部
2015,台東縣,"82,246",2.53,1.98,1.12,1.4,"746,981","433,133","68,736","11,249","9,971","103,448","7,007","86,567","35,698","17,816","15,496","16,385","44,929","20,773","4,688","6,300","2,156","2,352",東部
2015,花蓮縣,"124,617",2.71,2.25,1.11,1.53,"924,706","563,001","93,388","10,256","14,987","125,259","10,855","113,059","54,270","21,201","27,132","14,309","49,699","28,585","13,316","7,063","2,685","4,068",東部
2015,澎湖縣,"37,981",2.55,2.16,0.96,1.5,"792,696","466,630","72,552","7,315","19,942","100,479","7,906","97,514","34,277","19,261","20,255","15,123","45,899","26,107","9,554","6,506","1,899","2,295",離島
2015,基隆市,"150,947",2.84,2.4,1.25,1.65,"1,072,433","729,180","123,047","10,739","31,687","151,910","22,433","114,442","64,920","23,812","43,773","20,552","76,950","44,916","17,056","11,992","5,209","9,516",北部
2015,新竹市,"156,266",3.33,2.58,1.39,1.8,"1,427,572","971,537","134,991","11,780","28,564","215,835","27,407","138,194","128,121","30,392","62,736","46,699","100,647","46,171","31,114","15,689","5,149","10,784",北部
2015,嘉義市,"98,628",3.05,2.45,1.27,1.61,"1,154,411","745,214","119,314","10,372","22,472","161,330","16,218","115,534","61,797","23,917","35,443","36,113","104,547","39,917","17,051","9,865","4,662","3,865",南部
2016,新北市,"1,515,318",3.1,2.59,1.44,1.84,"1,223,867","771,154","98,360","8,325","25,762","216,066","18,822","102,752","59,384","30,921","49,334","31,043","90,434","39,950","25,493","12,257","4,761","6,824",北部
2016,台北市,"1,045,175",3.0,2.56,1.29,1.75,"1,568,945","1,025,150","149,185","6,637","29,069","302,805","29,161","135,370","68,288","30,137","76,807","33,161","101,208","63,321","48,080","14,214","5,225","9,289",北部
2016,桃園市,"757,890",3.34,2.64,1.55,1.88,"1,317,790","831,228","124,126","9,070","28,563","203,271","19,277","112,604","80,257","30,782","40,871","34,923","96,196","51,288","17,434","11,257","5,295","6,886",北部
2016,台中市,"933,760",2.94,2.4,1.36,1.64,"1,140,325","769,046","105,082","7,465","23,506","187,671","16,703","114,014","76,348","26,506","45,124","30,592","95,343","40,693","22,880","11,564","4,858","5,822",中部
2016,台南市,"674,233",3.09,2.58,1.54,1.77,"1,063,495","696,425","108,382","8,712","16,991","148,952","15,460","115,607","78,306","24,368","29,687","26,752","87,334","35,873","13,730","8,619","3,426","3,912",南部
2016,高雄市,"1,076,120",3.17,2.65,1.47,1.79,"1,166,824","786,097","114,904","9,465","18,969","166,212","17,126","137,669","72,021","28,472","34,291","30,048","118,554","38,366","15,093","10,060","4,107","5,030",南部
2016,宜蘭縣,"165,698",2.91,2.44,1.33,1.71,"1,085,846","736,769","131,401","9,621","21,575","138,445","25,333","142,860","73,197","25,606","35,030","22,566","70,946","40,188","17,737","7,531","3,687","6,075",北部
2016,新竹縣,"185,128",3.43,2.72,1.67,1.94,"1,365,150","883,370","121,007","9,607","24,194","192,307","20,598","127,763","99,460","29,477","46,740","45,217","103,503","63,497","24,448","10,462","4,979","6,851",北部
2016,苗栗縣,"184,739",3.29,2.6,1.42,1.77,"1,166,196","700,967","99,447","9,846","20,425","143,273","17,308","132,438","86,924","29,384","37,946","29,408","59,376","35,193","18,979","9,051","3,835","6,080",中部
2016,彰化縣,"383,007",3.04,2.51,1.52,1.7,"994,353","603,518","106,501","8,420","17,730","127,967","12,705","94,457","76,479","21,826","25,172","28,530","55,842","27,889","11,782","6,379","4,306","2,706",中部
2016,南投縣,"177,089",3.06,2.55,1.45,1.6,"916,199","625,403","101,193","11,958","17,970","119,280","11,227","126,176","59,884","21,972","22,147","23,253","77,120","33,223","7,809","7,582","3,330","3,426",中部
